split,threshold,accuracy,balanced_accuracy,precision,recall_detection_rate,f1,mcc,roc_auc,average_precision_aupr,specificity,benign_false_positive_rate,attack_false_negative_rate,true_negative,false_positive,false_negative,true_positive
validation,0.4750269949436188,0.33742191529975707,0.5484372789456172,0.05635490091515426,0.7827567444227967,0.10514018967011075,0.045561288612446155,0.5635504161430073,0.059849134073064976,0.31411781346843776,0.6858821865315622,0.21724325557720323,341992,746746,12377,44596
test,0.4750269949436188,0.4591848599502178,0.6341079107099376,0.26899585633190454,0.9333845125182635,0.41763251086990244,0.24258853837980582,0.5902869330541638,0.25696468310895043,0.33483130890161156,0.6651686910983884,0.06661548748173646,257796,512132,13450,188455
