variant,policy,threshold,benign_rows,allowed_false_positives,realized_false_positives,realized_fpr
unweighted,fpr_at_most_1_percent,0.0003232097349864181,470324,4703,4703,0.009999489713474115
unweighted,fpr_at_most_0_1_percent,0.0056400623248373935,470324,470,470,0.0009993111131900562
sqrt_weight,fpr_at_most_1_percent,0.0005225553566157468,470324,4703,4702,0.009997363519616265
sqrt_weight,fpr_at_most_0_1_percent,0.006343623097293801,470324,470,468,0.0009950587254743538
full_weight,fpr_at_most_1_percent,0.000457898299841546,470324,4703,4699,0.00999098493804271
full_weight,fpr_at_most_0_1_percent,0.00855659689575624,470324,470,469,0.0009971849193322051
