variant,backend,positive_class_weight,best_iteration,training_seconds,inference_seconds,gpu_error_before_fallback,threshold_maximum_internal_f1,threshold_fpr_at_most_1_percent,threshold_fpr_at_most_0_1_percent
unweighted,gpu_opencl,1.0,445,284.9940005669996,31.593106636999437,,0.4658198365498775,8.275466367084545e-05,0.0024971575484394625
sqrt_weight,gpu_opencl,1.714299989984941,471,310.54714526099997,35.43273344499903,,0.6041049186919809,9.334388335114423e-05,0.0027430359067979904
full_weight,gpu_opencl,2.9388244556623686,471,300.84109316800095,31.7609287030009,,0.723178427894294,8.10214782192996e-05,0.0029608806864998075
