variant,backend,positive_class_weight,threshold_policy,split,best_iteration,training_seconds,inference_seconds,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,auroc,aupr,specificity,benign_fpr,attack_fnr,true_negative,false_positive,false_negative,true_positive
unweighted,gpu_opencl,1.0,maximum_internal_f1,internal_holdout,445,284.9940005669996,31.593106636999437,0.4658198365498775,0.9997683870537881,0.9997994423050612,0.9992256775321594,0.999862532648496,0.9995440036479708,0.9993888658025789,0.9999980924731131,0.9999941714138648,0.9997363519616265,0.00026364803837354675,0.0001374673515040178,470200,124,22,160016
unweighted,gpu_opencl,1.0,maximum_internal_f1,official_validation,445,284.9940005669996,31.593106636999437,0.4658198365498775,0.950139258504108,0.5025828069956824,0.40328697850821743,0.005599143453916768,0.011044941486046672,0.04275061550552449,0.5150003539393957,0.07082197419884224,0.999566470537448,0.0004335294625520557,0.9944008565460832,1088266,472,56654,319
unweighted,gpu_opencl,1.0,maximum_internal_f1,strict_temporal_test,445,284.9940005669996,31.593106636999437,0.4658198365498775,0.7920836193049628,0.49999251827792873,0.19844357976653695,0.00025259404175230927,0.0005045458592613844,-0.00037335778377643817,0.8660202112789613,0.8163475904774714,0.9997324425141052,0.000267557485894785,0.9997474059582477,769722,206,201854,51
unweighted,gpu_opencl,1.0,fpr_at_most_1_percent,internal_holdout,445,284.9940005669996,31.593106636999437,8.275466367084545e-05,0.9925439668000292,0.9950013832729899,0.9714755730380731,0.9999937514840226,0.9855283982092162,0.9806943350319004,0.9999980924731131,0.9999941714138648,0.9900090150619573,0.00999098493804271,6.248515977455354e-06,465625,4699,1,160037
unweighted,gpu_opencl,1.0,fpr_at_most_1_percent,official_validation,445,284.9940005669996,31.593106636999437,8.275466367084545e-05,0.936860168052851,0.5191158407972544,0.14528415123955496,0.0552366910641883,0.08004171223643716,0.06102215902028834,0.5150003539393957,0.07082197419884224,0.9829949905303205,0.017005009469679574,0.9447633089358117,1070224,18514,53826,3147
unweighted,gpu_opencl,1.0,fpr_at_most_1_percent,strict_temporal_test,445,284.9940005669996,31.593106636999437,8.275466367084545e-05,0.9277674250617133,0.8449679644470447,0.9324074986046818,0.7033060102523464,0.8018125352907962,0.7699809585109713,0.8660202112789613,0.8163475904774714,0.9866299186417431,0.013370081358256876,0.2966939897476536,759634,10294,59904,142001
unweighted,gpu_opencl,1.0,fpr_at_most_0_1_percent,internal_holdout,445,284.9940005669996,31.593106636999437,0.0024971575484394625,0.9992512238999178,0.9994940959274274,0.9970717605572378,0.9999875029680451,0.9985275032444844,0.9980273858528091,0.9999980924731131,0.9999941714138648,0.9990006888868099,0.0009993111131900562,1.2497031954910708e-05,469854,470,2,160036
unweighted,gpu_opencl,1.0,fpr_at_most_0_1_percent,official_validation,445,284.9940005669996,31.593106636999437,0.0024971575484394625,0.9484023457922635,0.5090376247359684,0.2646606632989238,0.021150369473259264,0.03917043201248253,0.06245379310603414,0.5150003539393957,0.07082197419884224,0.9969248799986774,0.0030751200013226323,0.9788496305267408,1085390,3348,55768,1205
unweighted,gpu_opencl,1.0,fpr_at_most_0_1_percent,strict_temporal_test,445,284.9940005669996,31.593106636999437,0.0024971575484394625,0.8759416484107866,0.7032718054540847,0.9879308483197965,0.40785022659171394,0.577351029594262,0.5890081288047423,0.8660202112789613,0.8163475904774714,0.9986933843164556,0.0013066156835444354,0.5921497734082861,768922,1006,119558,82347
sqrt_weight,gpu_opencl,1.714299989984941,maximum_internal_f1,internal_holdout,471,310.54714526099997,35.43273344499903,0.6041049186919809,0.9997668006637456,0.9997983792081323,0.9992194378703767,0.999862532648496,0.9995408818192324,0.9993846823906167,0.9999980840699988,0.9999941507471762,0.9997342257677686,0.00026577423223139794,0.0001374673515040178,470199,125,22,160016
sqrt_weight,gpu_opencl,1.714299989984941,maximum_internal_f1,official_validation,471,310.54714526099997,35.43273344499903,0.6041049186919809,0.9501575877337304,0.5025508669912032,0.4131578947368421,0.005511382584733119,0.010877660956472034,0.04307386057886227,0.5107331041791764,0.07006923927742396,0.9995903513976733,0.00040964860232673057,0.9944886174152668,1088292,446,56659,314
sqrt_weight,gpu_opencl,1.714299989984941,maximum_internal_f1,strict_temporal_test,471,310.54714526099997,35.43273344499903,0.6041049186919809,0.7920856772717123,0.4999755470926707,0.17446808510638298,0.0002030657982714643,0.0004056594439497378,-0.0012760916132379852,0.8626074352654836,0.8133260540146457,0.99974802838707,0.0002519716129300402,0.9997969342017285,769734,194,201864,41
sqrt_weight,gpu_opencl,1.714299989984941,fpr_at_most_1_percent,internal_holdout,471,310.54714526099997,35.43273344499903,9.334388335114423e-05,0.9925392076299016,0.995000255143263,0.9714521582362617,1.0,0.985519383950317,0.9806824829540121,0.9999980840699988,0.9999941507471762,0.9900005102865259,0.009999489713474115,0.0,465621,4703,0,160038
sqrt_weight,gpu_opencl,1.714299989984941,fpr_at_most_1_percent,official_validation,471,310.54714526099997,35.43273344499903,9.334388335114423e-05,0.9369893454806666,0.5206475731701499,0.15197804710724902,0.05832587365945272,0.08429944950404628,0.06560955640544155,0.5107331041791764,0.07006923927742396,0.982969272680847,0.017030727319153,0.9416741263405473,1070196,18542,53650,3323
