variant,backend,policy,threshold,benign_rows,allowed_false_positives,realized_false_positives,realized_fpr
unweighted,gpu_opencl,fpr_at_most_1_percent,8.275466367084545e-05,470324,4703,4699,0.00999098493804271
unweighted,gpu_opencl,fpr_at_most_0_1_percent,0.0024971575484394625,470324,470,470,0.0009993111131900562
sqrt_weight,gpu_opencl,fpr_at_most_1_percent,9.334388335114423e-05,470324,4703,4703,0.009999489713474115
sqrt_weight,gpu_opencl,fpr_at_most_0_1_percent,0.0027430359067979904,470324,470,470,0.0009993111131900562
full_weight,gpu_opencl,fpr_at_most_1_percent,8.10214782192996e-05,470324,4703,4703,0.009999489713474115
full_weight,gpu_opencl,fpr_at_most_0_1_percent,0.0029608806864998075,470324,470,464,0.000986553950042949
