variant,scale_pos_weight,best_iteration,best_score,training_seconds,inference_seconds,threshold_maximum_internal_f1,threshold_fpr_at_most_1_percent,threshold_fpr_at_most_0_1_percent
unweighted,1.0,677,0.00032137982782467,26.410520317998817,0.6835994310004025,0.34848666191101074,0.00012591201812028888,0.006788520608097316
sqrt_weight,1.714299989984941,524,0.0003273743505067,21.631874951999635,0.4616348420004215,0.3759443163871765,0.0001616021909285337,0.009959205053746702
full_weight,2.9388244556623686,531,0.00034955904049543,21.570899655000176,0.46797007500026666,0.5439671874046326,0.0001811339316191152,0.012260403484106066
