variant,positive_class_weight,threshold_policy,split,best_iteration,tree_count,training_seconds,inference_seconds,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,auroc,aupr,specificity,benign_fpr,attack_fnr,true_negative,false_positive,false_negative,true_positive
unweighted,1.0,maximum_internal_f1,internal_holdout,1013,1013,55.125268898002105,2.0538605570000072,0.388538066759621,0.9999413035684258,0.9999256256756132,0.9998750320230441,0.9998937752283833,0.9998844035378766,0.9998450689049507,0.9999999136505269,0.9999997149338918,0.999957476122843,4.252387715702367e-05,0.00010622477161674102,470304,20,17,160021
unweighted,1.0,maximum_internal_f1,official_validation,1013,1013,55.125268898002105,2.0538605570000072,0.388538066759621,0.9503173138775834,0.5027263944849736,0.5425709515859767,0.005704456496937146,0.011290210519002293,0.0518534349736331,0.4730291533978698,0.06251553947475287,0.99974833247301,0.00025166752698996454,0.9942955435030628,1088464,274,56648,325
unweighted,1.0,maximum_internal_f1,strict_temporal_test,1013,1013,55.125268898002105,2.0538605570000072,0.388538066759621,0.7921998944263058,0.4999855137279153,0.125,3.4669770436591467e-05,6.932031431811092e-05,-0.0015484882209074115,0.8498620262503134,0.8149279548774352,0.9999363576853939,6.364231460604109e-05,0.9999653302295634,769879,49,201898,7
unweighted,1.0,fpr_at_most_1_percent,internal_holdout,1013,1013,55.125268898002105,2.0538605570000072,0.0003232097349864181,0.9925392076299016,0.995000255143263,0.9714521582362617,1.0,0.985519383950317,0.9806824829540121,0.9999999136505269,0.9999997149338918,0.9900005102865259,0.009999489713474115,0.0,465621,4703,0,160038
unweighted,1.0,fpr_at_most_1_percent,official_validation,1013,1013,55.125268898002105,2.0538605570000072,0.0003232097349864181,0.9359210132398136,0.5160850546095814,0.12844036697247707,0.04988327804398575,0.07185840707964601,0.050814157485487274,0.4730291533978698,0.06251553947475287,0.9822868311751771,0.017713168824822868,0.9501167219560143,1069453,19285,54131,2842
unweighted,1.0,fpr_at_most_1_percent,strict_temporal_test,1013,1013,55.125268898002105,2.0538605570000072,0.0003232097349864181,0.9251044160879492,0.8430059296890677,0.9176580947759987,0.7025432753027414,0.7958202423698384,0.7609935919039836,0.8498620262503134,0.8149279548774352,0.9834685840753941,0.016531415924605938,0.2974567246972586,757200,12728,60058,141847
unweighted,1.0,fpr_at_most_0_1_percent,internal_holdout,1013,1013,55.125268898002105,2.0538605570000072,0.0056400623248373935,0.9992543966800029,0.999500344443405,0.9970717970443841,1.0,0.9985337517860151,0.9980357769724235,0.9999999136505269,0.9999997149338918,0.9990006888868099,0.0009993111131900562,0.0,469854,470,0,160038
unweighted,1.0,fpr_at_most_0_1_percent,official_validation,1013,1013,55.125268898002105,2.0538605570000072,0.0056400623248373935,0.9488212996122058,0.5054073667080055,0.2357801080394026,0.013023712986853422,0.024683965402528277,0.044918310600278684,0.4730291533978698,0.06251553947475287,0.9977910204291575,0.002208979570842572,0.9869762870131465,1086333,2405,56231,742
unweighted,1.0,fpr_at_most_0_1_percent,strict_temporal_test,1013,1013,55.125268898002105,2.0538605570000072,0.0056400623248373935,0.9340925858660901,0.8437858298930923,0.9906395034309957,0.6892796116985711,0.8129291536819232,0.793252482854467,0.8498620262503134,0.8149279548774352,0.9982920480876134,0.0017079519123866127,0.3107203883014289,768613,1315,62736,139169
sqrt_weight,1.714299989984941,maximum_internal_f1,internal_holdout,993,993,53.99805474800087,2.002796507000312,0.49149899934571445,0.9999397171783833,0.9999245625786842,0.9998687844440834,0.9998937752283833,0.99988127968008,0.9998408819652488,0.9999998884013271,0.999999639423382,0.9999553499289852,4.465007101487485e-05,0.00010622477161674102,470303,21,17,160021
