variant,scale_pos_weight,threshold_policy,split,best_iteration,training_seconds,inference_seconds,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,auroc,aupr,specificity,benign_fpr,attack_fnr,true_negative,false_positive,false_negative,true_positive
unweighted,1.0,maximum_internal_f1,internal_holdout,677,26.410520317998817,0.6835994310004025,0.34848666191101074,0.9999222668879152,0.9999066850292866,0.9998188032265523,0.9998750296804509,0.999846915663027,0.9997948241251053,0.999999691177244,0.9999991214894082,0.9999383403781223,6.165962187768432e-05,0.00012497031954910708,470295,29,20,160018
unweighted,1.0,maximum_internal_f1,official_validation,677,26.410520317998817,0.6835994310004025,0.34848666191101074,0.9502125754225978,0.5024966311757973,0.44903988183161003,0.0053358608463658225,0.010546400693842151,0.04466600335736099,0.5557426448185178,0.0731204301744192,0.999657401505229,0.0003425984947710101,0.9946641391536342,1088365,373,56669,304
unweighted,1.0,maximum_internal_f1,strict_temporal_test,677,26.410520317998817,0.6835994310004025,0.34848666191101074,0.7928368351352547,0.5017230369533047,0.8209121245828699,0.0036551843688863573,0.007277962959310468,0.04598841912583948,0.8653670548791302,0.795142631124448,0.999790889537723,0.00020911046227699214,0.9963448156311137,769767,161,201167,738
unweighted,1.0,fpr_at_most_1_percent,internal_holdout,677,26.410520317998817,0.6835994310004025,0.00012591201812028888,0.9923234585841152,0.9948536127998693,0.9706565579984837,0.9999937514840226,0.9851067824309893,0.9801345228339856,0.999999691177244,0.9999991214894082,0.989713474115716,0.010286525884284026,6.248515977455354e-06,465486,4838,1,160037
unweighted,1.0,fpr_at_most_1_percent,official_validation,677,26.410520317998817,0.6835994310004025,0.00012591201812028888,0.9370094203512055,0.5185207080794972,0.14375468867216804,0.0538149649834132,0.07831317607693389,0.059573294186799054,0.5557426448185178,0.0731204301744192,0.9832264511755813,0.01677354882441873,0.9461850350165868,1070476,18262,53907,3066
unweighted,1.0,fpr_at_most_1_percent,strict_temporal_test,677,26.410520317998817,0.6835994310004025,0.00012591201812028888,0.9273722954458224,0.8445669494131665,0.9305305121530624,0.7028949258314554,0.8008509725803994,0.7686382585255768,0.8653670548791302,0.795142631124448,0.9862389729948774,0.013761027005122557,0.2971050741685446,759333,10595,59987,141918
unweighted,1.0,fpr_at_most_0_1_percent,internal_holdout,677,26.410520317998817,0.6835994310004025,0.006788520608097316,0.9992496375098753,0.9994930328304985,0.9970655485430542,0.9999875029680451,0.9985243881514296,0.998023214774451,0.999999691177244,0.9999991214894082,0.9989985626929521,0.0010014373070479075,1.2497031954910708e-05,469853,471,2,160036
unweighted,1.0,fpr_at_most_0_1_percent,official_validation,677,26.410520317998817,0.6835994310004025,0.006788520608097316,0.9487698032051712,0.5064531434258137,0.25144341801385683,0.01528794341179155,0.02882340288234029,0.051100905231903575,0.5557426448185178,0.0731204301744192,0.9976183434398358,0.0023816565601641536,0.9847120565882085,1086145,2593,56102,871
unweighted,1.0,fpr_at_most_0_1_percent,strict_temporal_test,677,26.410520317998817,0.6835994310004025,0.006788520608097316,0.8584479020572464,0.6615704352585045,0.9816589309776913,0.3247319283821599,0.4880254563724669,0.5182032781190836,0.8653670548791302,0.795142631124448,0.998408942134849,0.001591057865151027,0.6752680716178401,768703,1225,136340,65565
sqrt_weight,1.714299989984941,maximum_internal_f1,internal_holdout,524,21.631874951999635,0.4616348420004215,0.3759443163871765,0.9999190941078301,0.9999066199964886,0.9998000637296862,0.9998812781964284,0.9998406693138471,0.9997864521024976,0.9999997421605663,0.9999992462760282,0.9999319617965488,6.803820345123787e-05,0.00011872180357165173,470292,32,19,160019
sqrt_weight,1.714299989984941,maximum_internal_f1,official_validation,524,21.631874951999635,0.4616348420004215,0.3759443163871765,0.9501427497859408,0.5026095945037494,0.4060529634300126,0.005651799975426957,0.011148426409998961,0.043139536462479616,0.5440453806560844,0.07206429929090959,0.999567389032072,0.0004326109679280047,0.994348200024573,1088267,471,56651,322
sqrt_weight,1.714299989984941,maximum_internal_f1,strict_temporal_test,524,21.631874951999635,0.4616348420004215,0.3759443163871765,0.7928388931020042,0.5017590487912614,0.8096256684491978,0.0037492880314999627,0.007464011043186748,0.04603772630820091,0.8649778416863857,0.8010398936285659,0.999768809551023,0.0002311904489770472,0.9962507119685,769750,178,201148,757
sqrt_weight,1.714299989984941,fpr_at_most_1_percent,internal_holdout,524,21.631874951999635,0.4616348420004215,0.0001616021909285337,0.9925360348498165,0.9949960677883454,0.9714460881019297,0.9999937514840226,0.9855132259167003,0.9806741870681513,0.9999997421605663,0.9999992462760282,0.989998384092668,0.010001615907331967,6.248515977455354e-06,465620,4704,1,160037
sqrt_weight,1.714299989984941,fpr_at_most_1_percent,official_validation,524,21.631874951999635,0.4616348420004215,0.0001616021909285337,0.9378368541455917,0.518407163117279,0.14816278150928486,0.052656521510189035,0.07769907149609562,0.060737430394742054,0.5440453806560844,0.07206429929090959,0.984157804724369,0.015842195275631053,0.9473434784898109,1071490,17248,53973,3000
sqrt_weight,1.714299989984941,fpr_at_most_1_percent,strict_temporal_test,524,21.631874951999635,0.4616348420004215,0.0001616021909285337,0.9283662933857978,0.8455194869424884,0.9354390630863116,0.7037765285654144,0.8032379143490255,0.7720218140672818,0.8649778416863857,0.8010398936285659,0.9872624453195623,0.01273755468043765,0.29622347143458555,760121,9807,59809,142096
sqrt_weight,1.714299989984941,fpr_at_most_0_1_percent,internal_holdout,524,21.631874951999635,0.4616348420004215,0.009959205053746702,0.9992464647297902,0.9994909066366408,0.9970531247468989,0.9999875029680451,0.9985181580236283,0.9980148727213582,0.9999997421605663,0.9999992462760282,0.9989943103052364,0.0010056896947636099,1.2497031954910708e-05,469851,473,2,160036
sqrt_weight,1.714299989984941,fpr_at_most_0_1_percent,official_validation,524,21.631874951999635,0.4616348420004215,0.009959205053746702,0.9488867611465719,0.5062235931794032,0.25644171779141106,0.014673617327506012,0.027758869722577326,0.05079720719146116,0.5440453806560844,0.07206429929090959,0.9977735690313004,0.00222643096869954,0.985326382672494,1086314,2424,56137,836
sqrt_weight,1.714299989984941,fpr_at_most_0_1_percent,strict_temporal_test,524,21.631874951999635,0.4616348420004215,0.009959205053746702,0.8696020818391638,0.6881224230970406,0.9862242918121847,0.37762809241970235,0.5461382805365042,0.5640993004856171,0.8649778416863857,0.8010398936285659,0.9986167537743789,0.001383246225621097,0.6223719075802977,768863,1065,125660,76245
full_weight,2.9388244556623686,maximum_internal_f1,internal_holdout,531,21.570899655000176,0.46797007500026666,0.5439671874046326,0.9999175077177875,0.99990143457744,0.9998063081075678,0.9998687811644734,0.9998375436601413,0.9997822629086823,0.9999997194289795,0.9999991842978945,0.9999340879904066,6.591200959338669e-05,0.00013121883552656244,470293,31,21,160017
