variant,positive_class_weight,best_iteration,tree_count,training_seconds,inference_seconds,threshold_maximum_internal_f1,threshold_fpr_at_most_1_percent,threshold_fpr_at_most_0_1_percent
unweighted,1.0,1013,1013,55.125268898002105,2.0538605570000072,0.388538066759621,0.0003232097349864181,0.0056400623248373935
sqrt_weight,1.714299989984941,993,993,53.99805474800087,2.002796507000312,0.49149899934571445,0.0005225553566157468,0.006343623097293801
full_weight,2.9388244556623686,1419,1419,73.99470253799882,2.660646848999022,0.7571648220355721,0.000457898299841546,0.00855659689575624
